157A0;0.000;6.905;7.500;6.386;6.790;6.004;5.744;6.690;7.260;6.285;7.313;7.332;7.406;1.257;6.423;6.967;3.590;7.121;7.058;7.572;5.908;5.267;7.049;7.312;7.337;2.210;7.205;7.179;7.650;7.273;1.393;6.163;7.405;6.877;6.723;6.158;7.416;6.806;6.990;5.753;7.318;5.674;4.385;5.650;7.190;6.369;7.303;6.705;7.157;5.745;8.180;6.628;5.495;6.106;6.997;4.821;5.179;7.371;7.161;5.965;4.599;6.183;7.390;6.003;5.752;7.475;6.572;6.883;5.515;6.280;6.162;5.996;7.422;7.333;5.492;4.661;7.346;5.885;6.743;5.420;7.345;5.514;7.384;7.406;7.055;7.369;6.493;4.250;4.748;6.636;7.418;4.971;4.793;0.680;6.288;6.653;7.131;4.252;5.476;6.858
196C0;6.905;0.000;1.872;0.842;0.568;0.962;1.200;0.364;0.753;0.724;0.802;0.473;0.612;5.661;0.643;0.257;3.417;0.263;0.420;1.213;1.067;1.816;0.277;0.478;0.653;4.817;0.348;0.368;2.042;0.522;5.579;0.985;0.578;0.215;0.366;0.912;0.528;0.104;0.311;1.305;0.441;1.333;2.583;1.289;0.548;0.618;0.516;0.321;0.326;1.290;3.221;0.397;1.436;0.858;0.196;2.090;1.773;0.468;0.315;1.215;2.349;0.952;0.635;0.949;1.240;1.007;0.338;0.337;1.419;0.861;1.076;0.926;1.482;0.778;1.580;2.286;0.446;1.116;0.176;1.641;0.551;1.419;0.488;0.538;0.285;0.476;0.741;2.671;2.185;0.653;0.700;2.009;2.241;7.423;0.798;0.571;0.377;2.755;1.689;0.394
90E1;7.500;1.872;0.000;2.387;2.292;2.496;2.607;2.198;2.471;2.238;2.155;1.967;1.735;6.306;2.364;2.089;4.413;1.985;2.078;1.834;2.580;3.248;2.051;1.633;1.933;5.671;1.988;1.933;0.218;2.051;6.304;2.553;1.680;2.063;2.206;2.377;1.775;1.907;2.134;2.253;1.800;2.810;3.697;2.643;1.927;2.308;1.529;2.090;1.642;2.067;2.410;1.770;2.720;2.430;1.790;3.059;2.952;1.855;1.970;2.880;3.466;2.428;1.576;2.464;2.669;0.993;1.986;2.197;2.712;2.494;2.810;2.371;0.468;2.170;2.987;3.419;1.866;2.633;1.943;3.017;1.496;2.703;1.915;1.816;1.681;1.867;2.330;3.563;3.299;2.361;1.970;3.253;3.452;8.083;2.249;2.186;2.147;3.853;3.217;2.072
35B0;6.386;0.842;2.387;0.000;0.719;0.623;0.804;0.613;0.975;0.436;1.039;1.066;1.226;5.141;0.460;0.771;2.840;0.989;0.736;1.986;0.732;1.310;0.838;1.207;1.161;4.263;0.979;0.911;2.570;0.959;5.080;0.637;1.191;0.779;0.635;0.262;1.235;0.774;0.808;1.020;1.213;0.887;2.069;0.851;0.985;0.484;1.202;0.575;1.132;1.079;3.943;0.825;0.994;0.592;0.861;1.687;1.226;1.205;0.929;0.755;1.842;0.573;1.407;0.665;0.695;1.682;0.632;0.709;0.970;0.967;0.660;0.677;1.985;0.958;0.976;1.815;1.156;0.639;0.722;1.034;1.300;0.973;1.209;1.162;1.023;1.220;0.119;2.157;1.744;0.596;1.119;1.478;1.639;6.906;0.644;0.315;0.951;2.180;1.150;0.575
115B0;6.790;0.568;2.292;0.719;0.000;0.870;1.117;0.381;0.694;0.574;0.648;0.738;0.812;5.538;0.434;0.467;3.242;0.586;0.575;1.393;0.993;1.627;0.552;0.833;0.655;4.647;0.625;0.629;2.453;0.755;5.448;0.638;0.934;0.554;0.328;0.814;0.927;0.564;0.549;1.413;0.761;1.196;2.429;1.187;0.546;0.587;0.938;0.540;0.814;1.386;3.544;0.792;1.325;0.789;0.579;2.058;1.650;0.823;0.627;1.000;2.208;0.641;0.951;0.872;1.118;1.429;0.581;0.389;1.305;0.843;0.839;0.902;1.909;0.884;1.347;2.165;0.764;0.979;0.568;1.417;1.004;1.305;0.825;0.857;0.670;0.863;0.631;2.568;2.076;0.173;0.758;1.850;2.042;7.283;0.554;0.577;0.558;2.570;1.465;0.598
155A0;6.004;0.962;2.496;0.623;0.870;0.000;0.263;0.689;1.291;0.434;1.435;1.350;1.502;4.761;0.450;0.971;2.480;1.140;1.094;1.938;0.144;0.860;1.058;1.417;1.434;3.885;1.219;1.214;2.684;1.303;4.668;0.469;1.496;0.894;0.725;0.432;1.473;0.865;0.993;0.782;1.379;0.376;1.642;0.364;1.288;0.369;1.441;0.732;1.271;0.848;3.737;0.829;0.522;0.108;1.076;1.231;0.864;1.408;1.180;0.409;1.414;0.526;1.543;0.077;0.327;1.849;0.646;0.879;0.504;0.525;0.438;0.170;2.159;1.426;0.662;1.354;1.379;0.181;0.799;0.718;1.492;0.509;1.410;1.455;1.173;1.408;0.663;1.783;1.267;0.741;1.493;1.060;1.301;6.510;0.557;0.763;1.129;1.814;0.756;0.916
154A0;5.744;1.200;2.607;0.804;1.117;0.263;0.000;0.948;1.548;0.634;1.676;1.602;1.741;4.502;0.704;1.227;2.230;1.392;1.342;2.138;0.190;0.661;1.313;1.650;1.678;3.632;1.472;1.462;2.796;1.552;4.410;0.623;1.731;1.143;0.984;0.571;1.714;1.100;1.248;0.711;1.622;0.208;1.390;0.124;1.529;0.625;1.665;0.978;1.497;0.767;3.831;1.021;0.276;0.363;1.311;0.972;0.620;1.655;1.431;0.475;1.160;0.669;1.770;0.266;0.208;2.035;0.871;1.139;0.260;0.693;0.596;0.287;2.295;1.666;0.504;1.098;1.628;0.208;1.034;0.542;1.714;0.268;1.660;1.700;1.401;1.653;0.869;1.526;1.010;0.980;1.739;0.814;1.068;6.252;0.727;0.988;1.388;1.569;0.615;1.154
98A0;6.690;0.364;2.198;0.613;0.381;0.689;0.948;0.000;0.685;0.506;0.858;0.677;0.871;5.445;0.317;0.293;3.162;0.467;0.477;1.441;0.798;1.516;0.389;0.800;0.816;4.570;0.540;0.562;2.373;0.661;5.353;0.694;0.873;0.262;0.060;0.681;0.825;0.306;0.331;1.205;0.728;1.047;2.328;1.042;0.688;0.329;0.856;0.211;0.684;1.234;3.481;0.532;1.197;0.587;0.481;1.897;1.535;0.742;0.512;0.876;2.101;0.707;0.950;0.690;0.971;1.362;0.292;0.200;1.178;0.629;0.723;0.706;1.810;0.851;1.287;2.041;0.710;0.828;0.274;1.353;0.906;1.180;0.739;0.801;0.602;0.750;0.523;2.459;1.950;0.396;0.861;1.744;1.969;7.195;0.605;0.426;0.447;2.493;1.367;0.386
174A1;7.260;0.753;2.471;0.975;0.694;1.291;1.548;0.685;0.000;1.098;0.679;0.518;0.842;6.019;0.891;0.508;3.696;0.587;0.458;1.595;1.388;2.023;0.491;0.881;0.774;5.113;0.506;0.545;2.626;0.441;5.924;1.214;0.815;0.629;0.659;1.179;0.752;0.788;0.477;1.795;0.775;1.599;2.885;1.640;0.721;0.950;0.946;0.714;0.893;1.872;3.788;1.070;1.799;1.202;0.755;2.514;2.102;0.687;0.519;1.322;2.669;1.232;1.062;1.311;1.519;1.525;0.920;0.504;1.778;1.200;1.127;1.347;2.039;0.513;1.792;2.616;0.653;1.384;0.805;1.862;1.006;1.782;0.644;0.682;0.880;0.697;0.868;3.045;2.541;0.784;0.665;2.293;2.489;7.757;1.188;0.746;0.428;3.028;1.827;0.606
6D1;6.285;0.724;2.238;0.436;0.574;0.434;0.634;0.506;1.098;0.000;1.066;1.085;1.159;5.034;0.285;0.744;2.759;0.914;0.824;1.717;0.573;1.221;0.831;1.112;1.077;4.168;0.966;0.925;2.419;1.052;4.961;0.368;1.194;0.724;0.522;0.336;1.219;0.647;0.809;0.891;1.108;0.766;1.952;0.682;0.920;0.337;1.142;0.548;1.017;0.856;3.618;0.651;0.817;0.388;0.772;1.532;1.125;1.159;0.927;0.721;1.720;0.281;1.249;0.440;0.625;1.554;0.455;0.676;0.796;0.723;0.653;0.434;1.880;1.148;0.902;1.683;1.111;0.530;0.598;0.961;1.217;0.794;1.173;1.168;0.873;1.181;0.434;2.041;1.590;0.447;1.142;1.373;1.567;6.798;0.238;0.502;0.926;2.092;1.101;0.680
