Codigo;Distrito;IDS;Posicion;Poblacion_2016;Extension;Densidad
10101;Carmen;81.16;57;3 090;1.5;2 073.8
10102;Merced;67.73;196;14 721;2.3;6 428.4
10103;Hospital;62.50;250;22 895;3.4;6 773.7
10104;Catedral;76.17;89;15 308;2.3;6 626.8
10105;Zapote;82.86;44;21 460;2.9;7 529.8
10106;San Francisco de Dos Ríos;82.87;43;23 269;2.7;8 682.5
10107;Uruca;63.87;229;39 443;8.4;4 723.7
10108;Mata Redonda;93.16;8;9 895;3.7;2 688.9
10109;Pavas;73.72;113;84 102;9.3;9 004.5
10110;Hatillo;68.71;178;57 902;4.3;13 560.2
10111;San Sebastián;76.19;88;44 707;4.0;11 232.9
10201;Escazú;91.54;11;13 529;4.4;3 088.8
10202;San Antonio;80.90;58;26 397;17.0;1 553.7
10203;San Rafael;100.00;1;27 436;13.1;2 091.2
10301;Desamparados;81.42;54;36 794;3.0;12 143.2
10302;San Miguel;68.45;183;36 199;21.2;1 711.5
10303;San Juan de Dios;68.66;180;22 691;3.0;7 614.4
10304;San Rafael Arriba;75.64;95;17 305;3.1;5 564.3
10305;San Antonio;86.66;29;10 856;2.1;5 194.3
10306;Frailes;55.82;322;4 380;19.5;224.8
10307;Patarrá;69.23;172;13 846;15.9;871.9
10308;San Cristóbal;63.84;231;4 530;25.2;179.5
10309;Rosario;55.09;332;3 561;14.7;242.6
10310;Damas;78.79;70;14 790;2.6;5 754.9
10311;San Rafael Abajo;74.60;102;25 901;2.0;13 015.6
10312;Gravilias;84.84;32;16 555;3.0;5 574.1
10313;Los Guido;60.51;267;28 455;3.1;9 208.7
10401;Santiago;74.41;104;12 240;34.6;354.0
10402;Mercedes Sur;61.46;260;6 673;190.9;35.0
10403;Barbacoas;63.48;234;4 165;19.1;218.2
10404;Grifo Alto;55.28;328;1 391;25.8;53.9
10405;San Rafael;54.68;336;1 916;13.9;137.4
10406;Candelaria;62.51;249;1 640;24.6;66.6
10407;Desamparaditos;62.57;248;751;6.6;113.1
10408;San Antonio;63.05;240;4 397;16.9;259.7
