screen_Name;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
julioguzmanperu;@danielfolivares @julioguzmanperu Espero no termines como Maradona, pagó por culpa del vicio.Estás a tiempo.;FALSE;0;danielfolivares;26/11/2020 11:26;FALSE;1.33E+18;1.33E+18;266888814;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";claudio40528769;0;FALSE;FALSE;NA;NA
julioguzmanperu;RT @ElmoMorado: ¡Hola Morados @partidomorado! ESTE 29 VOTA 3-1-1-1 #LaListaDeLaUnidad @julioguzmanperu @suselparedes @FlorPabloMedina https…;FALSE;0;NA;26/11/2020 11:25;FALSE;;1.33E+18;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Fifi_gatito;21;TRUE;FALSE;NA;NA
julioguzmanperu;RT @CesarDazPretel1: @APalominoSaa @julioguzmanperu @partidomorado Julio Guzmán ? Al que odebrecht le tiro dedo y acepto haberle dado diner…;FALSE;0;NA;26/11/2020 11:22;FALSE;;1.33E+18;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";erikavanesa10;1;TRUE;FALSE;NA;NA
julioguzmanperu;RT @APalominoSaa: Para conocimiento de la opinión pública: el día de hoy me encuentro apoyando a @julioguzmanperu en su visita a mi región…;FALSE;0;NA;26/11/2020 11:16;FALSE;;1.33E+18;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";yvonnegraciela1;45;TRUE;FALSE;NA;NA
julioguzmanperu;@FachoJusticiero @julioguzmanperu @FSagasti Los partidos golpistas quieren desesperadamente que Julio renuncie, sab… https://t.co/CgKzAXf4Cf;FALSE;0;FachoJusticiero;26/11/2020 11:14;TRUE;1.33E+18;1.33E+18;1.20E+18;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";WRivasplata;0;FALSE;FALSE;NA;NA
julioguzmanperu;RT @BettySchaper1: VOTO INFORMADO!;;;;;;;;;;;;;;;
julioguzmanperu;@AlbertoBelaunde @FSagasti @julioguzmanperu @CostaGino @CIDH @Defensoria_Peru  NO MIENTAN. https://t.co/geO1MceAEe;FALSE;0;AlbertoBelaunde;26/11/2020 11:12;FALSE;;1.33E+18;16077528;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";RosaLuz59451741;0;FALSE;FALSE;NA;NA
julioguzmanperu;@APalominoSaa @julioguzmanperu @partidomorado Jajajaja;FALSE;0;APalominoSaa;26/11/2020 11:11;FALSE;1.33E+18;1.33E+18;1.13E+18;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";PedroTF;0;FALSE;FALSE;NA;NA
julioguzmanperu;@APalominoSaa @julioguzmanperu @partidomorado Julio Guzmán ? Al que odebrecht le tiro dedo y acepto haberle dado di… https://t.co/YyV0sdsqc4;FALSE;0;APalominoSaa;26/11/2020 11:10;TRUE;1.33E+18;1.33E+18;1.13E+18;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";CesarDazPretel1;1;FALSE;FALSE;NA;NA
julioguzmanperu;@ebsrconsultores @julioguzmanperu De acuerdo con usted, esos chicos no son técnicamente héroes, sin embargo, toda h… https://t.co/EmcXOeChhQ;FALSE;0;ebsrconsultores;26/11/2020 11:09;TRUE;1.33E+18;1.33E+18;2903224037;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";WRivasplata;0;FALSE;FALSE;NA;NA
